id,modul_id,frage_kurz,alt,neu,confidence
1,1,"Was sind fixe Kosten?",mittel,basics,1.0
2,1,"Was sind variable Kosten?",mittel,basics,1.0
3,1,"Was ist die Deckungsbeitragsrechnung?",mittel,basics,1.0
4,1,"Was ist ein Budget?",mittel,basics,1.0
5,1,"Was bedeutet ROI?",mittel,basics,1.0
6,2,"Was ist ein Kaufvertrag?",mittel,basics,1.0
7,2,"Wann ist ein Vertrag gültig?",mittel,praxis,1.0
11,1,"Was ist Inflation?",mittel,basics,1.0
12,2,"Was ist eine AG?",mittel,basics,1.0
14,1,"Was bedeutet Liquidität für ein Unternehmen?",mittel,basics,1.0
15,1,"Was ist der Break-Even-Point?",mittel,basics,1.0
16,1,"Was unterscheidet Eigenkapital von Fremdkapital?",mittel,praxis,1.0
17,1,"Was zeigt die Bilanz eines Unternehmens?",mittel,basics,1.0
18,1,"Wofür steht GuV in der Buchhaltung?",mittel,basics,1.0
19,1,"Was ist der Cashflow?",mittel,basics,1.0
20,1,"Was ist eine Abschreibung?",mittel,basics,1.0
21,1,"Was sind kalkulatorische Kosten?",mittel,basics,1.0
22,1,"Was bedeutet ""Make or Buy"" Entscheidung?",mittel,basics,1.0
23,1,"Was ist Working Capital?",mittel,basics,1.0
24,1,"Was ist ein Vorteil von Leasing gegenüber Kauf?",mittel,praxis,1.0
25,1,"Was sind Stakeholder?",mittel,basics,1.0
26,1,"Was bedeutet ""Economies of Scale"" (Skaleneffekte)?",mittel,basics,1.0
27,1,"Was bedeutet Outsourcing?",mittel,basics,1.0
28,1,"Was ist Benchmarking?",mittel,basics,1.0
29,1,"Wofür steht SWOT in der SWOT-Analyse?",mittel,basics,1.0
30,1,"Was ist Supply Chain Management?",mittel,basics,1.0
31,1,"Was bedeutet Just-in-Time (JIT) Produktion?",mittel,basics,1.0
32,1,"Was beschreibt die Kapitalstruktur eines Unternehmens?",mittel,basics,1.0
1801,18,"Gegeben ist die IP-Adresse 192.168.10.50/26. Berechne die folgenden Werte:",mittel,pruefung,1.0
1802,18,"Gegeben ist die IP-Adresse 10.20.30.100/24. Berechne die folgenden Werte:",mittel,pruefung,1.0
1803,18,"Gegeben ist die IP-Adresse 172.16.50.200/27. Berechne die folgenden Werte:",mittel,pruefung,1.0
1804,18,"Gegeben ist die IP-Adresse 192.168.1.145/28. Berechne die folgenden Werte:",schwer,pruefung,1.0
1805,18,"Gegeben ist die IP-Adresse 10.0.0.130/25. Berechne die folgenden Werte:",mittel,pruefung,1.0
1806,18,"Gegeben ist die IP-Adresse 172.31.100.50/16. Berechne die folgenden Werte:",mittel,pruefung,1.0
1807,18,"Gegeben ist die IP-Adresse 192.168.100.18/29. Berechne die folgenden Werte:",schwer,pruefung,1.0
1808,18,"Gegeben ist die IP-Adresse 192.168.5.200/26. Berechne die folgenden Werte:",mittel,pruefung,1.0
1809,18,"Gegeben ist die IP-Adresse 10.10.10.5/30. Berechne die folgenden Werte:",schwer,pruefung,1.0
1810,18,"Gegeben ist die IP-Adresse 10.50.100.200/8. Berechne die folgenden Werte:",mittel,pruefung,1.0
1811,18,"Welcher IP-Bereich ist für private Netzwerke reserviert (Klasse A)?",mittel,basics,1.0
1812,18,"Was ist NAT (Network Address Translation)?",mittel,basics,1.0
1813,18,"Wofür wird DHCP verwendet?",mittel,basics,1.0
1814,18,"Was ist ein Default Gateway?",mittel,basics,1.0
1815,18,"Wie viele Bit hat eine IPv6-Adresse?",mittel,basics,1.0
1816,18,"Welche IP-Adresse ist die Loopback-Adresse?",mittel,basics,1.0
1817,18,"Welche Standard-Subnetzmaske hat Netzklasse B?",mittel,basics,1.0
1818,18,"Was ist eine Broadcast-Adresse?",mittel,basics,1.0
1819,18,"Wofür wird ARP (Address Resolution Protocol) verwendet?",mittel,basics,1.0
1820,18,"Gegeben: 192.168.10.0/26. Berechne Netzadresse, Broadcast, Subnetzmaske und nutz...",mittel,pruefung,1.0
1821,18,"Gegeben: 10.50.100.32/28. Berechne Netzadresse, Broadcast, Subnetzmaske und nutz...",schwer,pruefung,1.0
1822,18,"Gegeben: 172.16.0.8/30. Berechne Netzadresse, Broadcast, Subnetzmaske und nutzba...",schwer,pruefung,1.0
1823,18,"Gegeben: 172.20.0.0/16. Berechne Netzadresse, Broadcast, Subnetzmaske und nutzba...",mittel,pruefung,1.0
1824,18,"Gegeben: 192.168.50.128/27. Berechne Netzadresse, Broadcast, Subnetzmaske und nu...",mittel,pruefung,1.0
1825,18,"Gegeben: 10.10.10.0/25. Berechne Netzadresse, Broadcast, Subnetzmaske und nutzba...",mittel,pruefung,1.0
1826,18,"Gegeben: 192.168.1.200/29. Berechne Netzadresse, Broadcast, Subnetzmaske und nut...",schwer,pruefung,1.0
1827,18,"Gegeben: 10.0.0.0/8. Berechne Netzadresse, Broadcast, Subnetzmaske und nutzbare ...",mittel,pruefung,1.0
1828,18,"Erkläre Schritt für Schritt, wie du bei einer Subnetting-Aufgabe vorgehst.",mittel,pruefung,1.0
1829,18,"Beschreibe den DHCP-Prozess (DORA) - wie erhält ein Client seine IP-Adresse?",mittel,praxis,1.0
1830,18,"Erkläre die wichtigsten Unterschiede zwischen IPv4 und IPv6. Warum war IPv6 notw...",mittel,praxis,1.0
2001,20,"Gegeben sind 4 Festplatten mit je 2 TB in einem RAID 0 Verbund.

Berechne:",mittel,pruefung,1.0
2002,20,"Gegeben sind 2 Festplatten mit je 4 TB in einem RAID 1 Verbund.

Berechne:",mittel,pruefung,1.0
2003,20,"Gegeben sind 5 Festplatten mit je 3 TB in einem RAID 5 Verbund.

Berechne:",mittel,pruefung,1.0
2004,20,"Gegeben sind 6 Festplatten mit je 2 TB in einem RAID 6 Verbund.

Berechne:",mittel,pruefung,1.0
2005,20,"Gegeben sind 4 Festplatten mit je 4 TB in einem RAID 10 Verbund.

Berechne:",schwer,pruefung,1.0
2006,20,"Gegeben sind 4 Festplatten mit je 1 TB in einem RAID 5 Verbund.

Berechne:",mittel,pruefung,1.0
2007,20,"Gegeben sind 6 Festplatten mit je 500 GB in einem RAID 0 Verbund.

Berechne (i...",mittel,pruefung,1.0
2008,20,"Gegeben sind 8 Festplatten mit je 4 TB in einem RAID 6 Verbund.

Berechne:",schwer,pruefung,1.0
2009,20,"Gegeben sind 8 Festplatten mit je 2 TB in einem RAID 10 Verbund.

Berechne:",schwer,pruefung,1.0
